Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Temp Comp Media;
82598;25/03/1961;1200;1;;24.5;;;
82598;26/03/1961;0000;;;;0;;
82598;26/03/1961;1200;68.2;;22.6;;;
82598;27/03/1961;0000;;;;6.5;;
82598;27/03/1961;1200;59.2;;22.2;;;
82598;28/03/1961;0000;;;;0;;
82598;28/03/1961;1200;2;;22;;;
82598;29/03/1961;0000;;;;2.3;;
82598;29/03/1961;1200;69;;21.3;;;
82598;30/03/1961;0000;;;;3.9;;
82598;30/03/1961;1200;4;;23.4;;;
82598;31/03/1961;0000;;;;10.1;;
82598;31/03/1961;1200;9;;23.1;;;
82598;01/04/1961;0000;;;;9.3;;
82598;01/04/1961;1200;4.2;;23.1;;;
82598;02/04/1961;0000;;;;11.3;;
82598;02/04/1961;1200;0;;23.1;;;
82598;03/04/1961;0000;;;;11.2;;
82598;03/04/1961;1200;0;;22.2;;;
82598;04/04/1961;0000;;;;10.7;;
82598;04/04/1961;1200;0;;23;;;
82598;05/04/1961;0000;;;;8.1;;
82598;05/04/1961;1200;17.4;;23.8;;;
82598;06/04/1961;0000;;;;4;;
82598;06/04/1961;1200;0;;22.7;;;
82598;07/04/1961;0000;;;;9.4;;
82598;07/04/1961;1200;7;;22.5;;;
82598;08/04/1961;0000;;;;1.1;;
82598;08/04/1961;1200;22;;22.8;;;
82598;09/04/1961;0000;;;;3.2;;
82598;09/04/1961;1200;49.6;;22.5;;;
82598;10/04/1961;0000;;;;0;;
82598;10/04/1961;1200;0.4;;23.3;;;
82598;11/04/1961;0000;;;;3.3;;
82598;11/04/1961;1200;0;;22.6;;;
82598;12/04/1961;0000;;;;9.5;;
82598;12/04/1961;1200;0;;22.3;;;
82598;13/04/1961;0000;;;;1.5;;
82598;13/04/1961;1200;1.4;;23.1;;;
82598;14/04/1961;0000;;;;0;;
82598;14/04/1961;1200;66.8;;20.3;;;
82598;15/04/1961;0000;;;;6.9;;
82598;15/04/1961;1200;39.6;;22.3;;;
82598;16/04/1961;0000;;;;3.5;;
82598;16/04/1961;1200;1.4;;22.6;;;
82598;17/04/1961;0000;;;;2.3;;
82598;17/04/1961;1200;17.1;;22.7;;;
82598;18/04/1961;0000;;;;5.5;;
82598;18/04/1961;1200;0;;22.7;;;
82598;19/04/1961;0000;;;;3.3;;
82598;19/04/1961;1200;16.6;;23.8;;;
82598;20/04/1961;0000;;;;5.2;;
82598;20/04/1961;1200;0.9;;23.1;;;
82598;21/04/1961;0000;;;;7.6;;
82598;21/04/1961;1200;0;;23.4;;;
82598;22/04/1961;0000;;;;7.5;;
82598;22/04/1961;1200;0;;22.3;;;
82598;23/04/1961;0000;;;;9.5;;
82598;23/04/1961;1200;3;;23;;;
82598;24/04/1961;0000;;;;6.4;;
82598;24/04/1961;1200;1.4;;22.3;;;
82598;25/04/1961;0000;;;;8.3;;
82598;25/04/1961;1200;0;;21.6;;;
82598;26/04/1961;0000;;;;1.7;;
82598;26/04/1961;1200;24;;23.1;;;
82598;27/04/1961;0000;;;;2;;
82598;27/04/1961;1200;33;;22.6;;;
82598;28/04/1961;0000;;;;6.3;;
82598;28/04/1961;1200;0;;22.9;;;
82598;29/04/1961;0000;;;;0;;
82598;29/04/1961;1200;3.6;;23.1;;;
82598;30/04/1961;0000;;;;7.4;;
82598;30/04/1961;1200;4;;22.2;;;
82598;01/05/1961;0000;;;;7.9;;
82598;01/05/1961;1200;7.5;;23;;;
82598;02/05/1961;0000;;;;10.2;;
82598;02/05/1961;1200;0;;23.4;;;
82598;03/05/1961;0000;;;;10.1;;
82598;03/05/1961;1200;0;;21.9;;;
82598;04/05/1961;0000;;;;9.7;;
82598;04/05/1961;1200;0;;22.7;;;
82598;05/05/1961;0000;;;;8.6;;
82598;05/05/1961;1200;12.6;;23.4;;;
82598;06/05/1961;0000;;;;10.4;;
82598;06/05/1961;1200;0;;24.2;;;
82598;07/05/1961;0000;;;;5.6;;
82598;07/05/1961;1200;5.4;;23.2;;;
82598;08/05/1961;0000;;;;2.6;;
82598;08/05/1961;1200;14.2;;22.6;;;
82598;09/05/1961;0000;;;;10.1;;
82598;09/05/1961;1200;18;;23;;;
82598;10/05/1961;0000;;;;10.1;;
82598;10/05/1961;1200;1.2;;22.3;;;
82598;11/05/1961;0000;;;;9.1;;
